#Name    TICID
CoRoT-1b 36352297
CoRoT-12b 280210963
CoRoT-13b 281909674
CoRoT-14b 282706928
CoRoT-18b 37168957
CoRoT-19b 42821097
CoRoT-21b 280420719
CoRoT-31b 250595183
CoRoT-4b 36440357
CoRoT-5b 234112540
CoRoTID223977153b 220323515
EPIC201170410b 38116202
GJ1252b 370133522
HAT-P-12b 198108326
HAT-P-15b 353459965
HAT-P-18b 21744120
HAT-P-19b 267650535
HAT-P-2b 39903405
HAT-P-21b 17993892
HAT-P-25b 35022727
HAT-P-31b 320798691
HAT-P-34b 278348461
HAT-P-36b 373693175
HAT-P-37b 267572272
HAT-P-38b 285272237
HAT-P-40b 199671901
HAT-P-42b 270468559
HAT-P-43b 468987719
HAT-P-49b 99224131
HAT-P-5b 76419763
HAT-P-50b 17746821
HAT-P-51b 61205803
HAT-P-52b 436875934
HAT-P-53b 189380158
HAT-P-55b 311408969
HAT-P-6b 176899385
HAT-P-66b 137881699
HAT-P-69b 379929661
HAT-P-70b 399870368
HAT-P-9b 371234684
HATS-13b 289793076
HATS-14b 29344935
HATS-16b 77044471
HATS-17b 73717937
HATS-18b 14614418
HATS-2b 413376180
HATS-22b 14661418
HATS-23b 7088246
HATS-24b 380589029
HATS-25b 437333618
HATS-26b 315002523
HATS-27b 248111245
HATS-28b 6663331
HATS-29b 201604954
HATS-3b 336732616
HATS-32b 204317710
HATS-33b 360742636
HATS-34b 355703913
HATS-35b 339522221
HATS-38b 168281028
HATS-39b 112604564
HATS-4b 59843967
HATS-40b 172598832
HATS-41b 53750200
HATS-42b 98283926
HATS-43b 78055054
HATS-44b 32499655
HATS-45b 4616072
HATS-46b 281541555
HATS-47b 158297421
HATS-49b 281541545
HATS-5b 139733308
HATS-51b 53458803
HATS-52b 19684256
HATS-53b 157266693
HATS-54b 363851359
HATS-55b 114299824
HATS-56b 272213425
HATS-57b 178289267
HATS-6b 33521996
HATS-60b 145750719
HATS-61b 44745133
HATS-62b 336732544
HATS-63b 178879588
HATS-66b 52689469
HATS-67b 272212970
HATS-68b 322307342
HATS-69b 467971286
HATS-7b 220029715
HATS-70b 98545929
HATS-71b 234523599
HATS-72b 188570092
HD1397b 394137592
HD219666b 266980320
HD221416b 441462736
HD2685b 267263253
HD332231b 199376584
K2-114b 366576758
K2-115b 7020254
K2-147b 398275886
K2-167b 69747919
K2-180b 366411016
K2-181b 366528389
K2-182b 366631954
K2-203b 333605244
K2-204b 248351386
K2-208b 399722652
K2-211b 399731211
K2-225b 98677125
K2-226b 176938958
K2-237b 16288184
K2-241b 152805642
K2-242b 152701771
K2-250b 98591691
K2-260b 293612446
K2-261b 281731203
K2-277b 404421005
K2-308b 411697517
K2-42b 82054726
K2-54b 12822545
K2-55b 437704321
K2-57b 146799150
K2-7b 53210555
K2-77b 435339847
K2-79b 435339558
K2-97b 366568760
K2-98b 366410512
KELT-1b 432549364
KELT-10b 269217040
KELT-11b 55092869
KELT-12b 116242971
KELT-14b 134537478
KELT-20b 69679391
KELT-21b 203189770
KELT-24b 349827430
KELT-7b 367366318
KELT-8b 358516596
KIC10525077b 158489091
KIC3558849b 138888805
KOI-217b 271354351
KOI-3680b 275574174
KPS-1b 99834717
Kepler-1000b 158322296
Kepler-1002b 275494505
Kepler-1003b 63074840
Kepler-1004b 28159194
Kepler-1005b 158215347
Kepler-1006b 271960115
Kepler-1007b 272074477
Kepler-1009b 164411478
Kepler-1010b 158989909
Kepler-1011b 273130565
Kepler-1012b 158986490
Kepler-1013b 159304741
Kepler-1014b 164883912
Kepler-1015b 63373862
Kepler-1017b 237188153
Kepler-1018b 164555061
Kepler-1019b 164556761
Kepler-1020b 63362217
Kepler-1021b 271537790
Kepler-1022b 159051188
Kepler-1023b 299154193
Kepler-1024b 137349536
Kepler-1025b 164727439
Kepler-1026b 237192046
Kepler-1028b 416265126
Kepler-1029b 137409907
Kepler-1030b 270617362
Kepler-1031b 27769737
Kepler-1032b 122139228
Kepler-1033b 164560648
Kepler-1034b 120762990
Kepler-1035b 158927791
Kepler-1036b 27396869
Kepler-1037b 272282253
Kepler-1038b 268483792
Kepler-1039b 274020852
Kepler-1040b 48217265
Kepler-1041b 27007509
Kepler-1042b 121734006
Kepler-1043b 123358827
Kepler-1044b 275488493
Kepler-1045b 164670756
Kepler-1046b 272601000
Kepler-1048b 123408693
Kepler-1049b 158489095
Kepler-1051b 138968338
Kepler-1052b 271661839
Kepler-1053b 137152419
Kepler-1054b 159441326
Kepler-1055b 159440697
Kepler-1056b 268935452
Kepler-1057b 169463893
Kepler-1058b 271164394
Kepler-1059b 121943952
Kepler-1060b 120691237
Kepler-1061b 27776660
Kepler-1062b 120043084
Kepler-1064b 137315852
Kepler-1066b 268379849
Kepler-1067b 351910733
Kepler-1068b 271165395
Kepler-1069b 417659970
Kepler-1070b 26814296
Kepler-1071b 275490723
Kepler-1072b 63072565
Kepler-1074b 164724987
Kepler-1075b 158489841
Kepler-1076b 399955825
Kepler-1077b 159574927
Kepler-1078b 275494550
Kepler-1079b 268932150
Kepler-1080b 27847814
Kepler-1081b 122066167
Kepler-1082b 299218775
Kepler-1083b 164458639
Kepler-1084b 267749737
Kepler-1087b 271353794
Kepler-1088b 123316231
Kepler-1089b 350810654
Kepler-1090b 271885110
Kepler-1091b 269262974
Kepler-1092b 273378026
Kepler-1094b 137549134
Kepler-1096b 271255413
Kepler-1097b 123316380
Kepler-1098b 271763415
Kepler-1099b 299033164
Kepler-1100b 63009789
Kepler-1101b 271163971
Kepler-1102b 47976987
Kepler-1103b 399951202
Kepler-1104b 27186509
Kepler-1105b 123231917
Kepler-1106b 159649503
Kepler-1107b 122716169
Kepler-1108b 272083644
Kepler-1109b 137336979
Kepler-1110b 351060274
Kepler-1111b 271663670
Kepler-1112b 272841734
Kepler-1113b 122062725
Kepler-1114b 268612417
Kepler-1115b 138960099
Kepler-1116b 63076026
Kepler-1117b 26583640
Kepler-1118b 239238425
Kepler-1119b 272940104
Kepler-1120b 159573412
Kepler-1121b 28230581
Kepler-1122b 158664692
Kepler-1123b 27188610
Kepler-1124b 120963454
Kepler-1125b 184009076
Kepler-1126b 352013661
Kepler-1127b 275569511
Kepler-1128b 137972889
Kepler-1131b 27642556
Kepler-1132b 405719448
Kepler-1133b 275569784
Kepler-1134b 271758442
Kepler-1135b 158114283
Kepler-1136b 164671623
Kepler-1137b 399913391
Kepler-1138b 405685914
Kepler-1139b 121458495
